eventname,outcome,type,compiledgametime,playsection,zone,manpowersituation,goal,teamid,playerid,opposingteamgoalieoniceid,xadjcoord,yadjcoord
pass,successful,outlet,129.83333,westPointDZ,dz,evenStrength,0,311,6588,80264,-38.0256042480469,31.4352931976318
reception,successful,regular,130.4,southCenterNZ,nz,evenStrength,0,311,109964,80264,-1.31089019775391,3.77352905273437
shot,successful,outside,131.7,northCenterNZ,oz,evenStrength,0,311,109964,80264,20.3155822753906,13.8323535919189
pass,successful,northoffboards,141.96666,outsideNorthEast,oz,evenStrength,0,315,81408,5152,95.8638305664062,20.8705902099609
reception,successful,regular,144,outsideNorthWest,oz,evenStrength,0,315,10534,5152,92.3432464599609,-29.9264717102051
pass,successful,south,144.16667,outsideNorthWest,oz,evenStrength,0,315,10534,5152,91.3373565673828,-31.9382362365723
reception,successful,regular,145.2,westPoint,oz,evenStrength,0,315,20775372,5152,28.4697113037109,-37.9735298156738
shot,failed,outsideblocked,146.36667,westPoint,oz,evenStrength,0,315,20775372,5152,29.9785461425781,-35.9617652893066
pass,successful,northoffboards,149.46666,outsideNorthEast,oz,evenStrength,0,315,10534,5152,79.2667694091797,26.4029388427734
reception,successful,regular,151.36667,outsideNorthEast,oz,evenStrength,0,315,10534,5152,93.8520660400391,18.8588218688965
pass,failed,south,151.66667,outsideNorthEast,oz,evenStrength,0,315,10534,5152,93.34912109375,19.8647079467773
pass,successful,d2d,152.43333,outsideNorthEastDZ,dz,evenStrength,0,311,237838,80264,-83.2902984619141,-18.3558807373047
reception,successful,regular,153.33333,innerSlotDZ,dz,evenStrength,0,311,80,80264,-67.6991271972656,3.27058792114258
pass,successful,outlet,154.1,westOuterSlotDZ,dz,evenStrength,0,311,80,80264,-54.6226501464844,4.77941131591797
reception,successful,regular,154.96666,southWestBoardsNZ,nz,evenStrength,0,311,1731661,80264,-18.410888671875,-40.4852905273438
pass,successful,d2d,159.36667,outsideNorthWestDZ,dz,evenStrength,0,311,80,80264,-77.7579498291016,26.9088230133057
reception,successful,regular,160.7,outsideNorthEastDZ,dz,evenStrength,0,311,80,80264,-93.8520660400391,-7.79411697387695
pass,successful,outletoffboards,161.26666,outsideNorthEastDZ,dz,evenStrength,0,311,80,80264,-94.3550109863281,-15.3382339477539
reception,successful,regular,162.2,eastPointDZ,dz,evenStrength,0,311,1731661,80264,-31.4873657226562,-40.9882354736328
pass,successful,d2d,167.33333,centerPointDZ,dz,evenStrength,0,315,20161,5152,-34.3979339599609,14.3323516845703
reception,successful,regular,167.9,centerPointDZ,dz,evenStrength,0,315,20775372,5152,-47.9773445129395,-17.3529415130615
pass,successful,d2d,168.7,eastOuterSlotDZ,dz,evenStrength,0,315,20775372,5152,-58.0361671447754,-18.3588237762451
reception,successful,regular,169.43333,westOuterSlotDZ,dz,evenStrength,0,315,20161,5152,-61.556755065918,16.8470573425293
pass,successful,stretch,170.36667,westOuterSlotDZ,dz,evenStrength,0,315,20161,5152,-57.5332260131836,19.8647079467773
reception,successful,regular,171.3,northEastBoardsNZ,nz,evenStrength,0,315,81408,5152,16.9020690917969,34.9529418945312
pass,successful,rush,171.96666,eastPoint,oz,evenStrength,0,315,81408,5152,34.5050048828125,35.9588241577148
reception,successful,regular,172.66667,eastPoint,oz,evenStrength,0,315,78625,5152,36.0138397216797,20.8705902099609
pass,successful,south,175.9,outsideNorthEast,oz,evenStrength,0,315,78625,5152,60.6579437255859,36.9647064208984
reception,successful,regular,176.96666,eastPoint,oz,evenStrength,0,315,20161,5152,29.9785461425781,26.9058837890625
pass,failed,north,177,eastPoint,oz,evenStrength,0,315,20161,5152,31.4873657226562,27.408821105957
pass,successful,northoffboards,184.23334,outsideNorthEast,oz,evenStrength,0,315,78625,5152,87.8246307373047,35.4558792114258
reception,successful,regular,185.86667,outsideNorthEast,oz,evenStrength,0,315,10534,5152,97.3805084228516,25.3970565795898
pass,successful,slot,186.03334,outsideNorthEast,oz,evenStrength,0,315,10534,5152,97.380500793457,15.3381996154785
reception,successful,regular,186.53334,westOuterSlot,oz,evenStrength,0,315,20775372,5152,56.6422729492188,-1.25882339477539
shot,failed,slot,186.56667,westOuterSlot,oz,evenStrength,0,315,20775372,5152,56.1393432617188,-0.252941131591797
pass,successful,d2doffboards,189.83333,outsideNorthWestDZ,dz,shortHanded,0,311,80,80264,-88.8304977416992,24.8971004486084
reception,successful,regular,190.83333,outsideNorthWestDZ,dz,shortHanded,0,311,1312,80264,-96.3746337890625,4.27647018432617
pass,successful,d2d,197.86667,outsideNorthWestDZ,dz,powerPlay,0,315,80264,5152,-97.2577209472656,1.25588226318359
reception,successful,regular,198.76666,outsideNorthWestDZ,dz,powerPlay,0,315,79380,5152,-97.7606582641602,0.752941131591797
pass,successful,outlet,201.06667,westOuterSlotDZ,dz,powerPlay,0,315,79380,5152,-57.5253677368164,17.3499984741211
reception,successful,regular,201.56667,southCenterNZ,nz,powerPlay,0,315,78625,5152,-20.3077239990234,-8.29999923706055
pass,successful,southoffboards,208.03334,outsideNorthEast,oz,powerPlay,0,315,10534,5152,98.8893432617187,8.79999923706055
reception,successful,regular,210.6,outsideNorthEast,oz,powerPlay,0,315,79380,5152,59.156982421875,37.970588684082
pass,successful,north,210.83333,outsideNorthEast,oz,powerPlay,0,315,79380,5152,60.6658020019531,38.4735260009766
reception,successful,regular,211.6,outsideNorthEast,oz,powerPlay,0,315,884,5152,93.8599243164063,26.4029388427734
pass,failed,south,214.43333,outsideNorthEast,oz,powerPlay,0,315,10534,5152,74.2452239990234,22.8823547363281
pass,successful,d2d,221.33333,outsideNorthWestDZ,dz,powerPlay,0,315,80264,5152,-83.1753692626953,35.9588241577148
reception,successful,regular,222.46666,outsideNorthWestDZ,dz,powerPlay,0,315,79380,5152,-86.6959533691406,31.4323501586914
pass,successful,outlet,226.66667,centerPointDZ,dz,powerPlay,0,315,79380,5152,-43.4430160522461,8.29705810546875
reception,successful,regular,227.23334,southWestBoardsNZ,nz,powerPlay,0,315,884,5152,-7.23124694824219,-29.4235305786133
pass,failed,south,228.96666,centerPoint,oz,powerPlay,0,315,884,5152,36.0216979980469,-1.76176452636719
pass,successful,south,230.8,centerPoint,oz,powerPlay,0,315,78625,5152,43.0628662109375,17.3499984741211
reception,successful,regular,231.96666,centerPoint,oz,powerPlay,0,315,79380,5152,30.4893341064453,4.77647018432617
pass,successful,north,232.33333,centerPoint,oz,powerPlay,0,315,79380,5152,29.9864044189453,5.27941131591797
reception,successful,regular,232.83333,eastPoint,oz,powerPlay,0,315,78625,5152,44.0687561035156,32.9411773681641
pass,successful,south,234.5,outsideNorthEast,oz,powerPlay,0,315,78625,5152,63.1805114746094,31.4323501586914
reception,successful,regular,235.7,centerPoint,oz,powerPlay,0,315,79380,5152,32.5010986328125,12.8235282897949
pass,successful,eastwest,236.3,centerPoint,oz,powerPlay,0,315,79380,5152,40.0452270507813,9.80588150024414
reception,successful,regular,236.9,outsideNorthWest,oz,powerPlay,0,315,81408,5152,59.6599273681641,-24.3941173553467
shot,successful,slot,236.93333,westOuterSlot,oz,powerPlay,0,315,81408,5152,60.6658020019531,-21.3764705657959
pass,successful,stretch,243.83333,outsideNorthEastDZ,dz,powerPlay,0,315,80264,5152,-80.1655807495117,-33.9500007629395
reception,successful,regular,244.96666,northEastBoardsNZ,nz,powerPlay,0,315,78625,5152,19.4167709350586,36.4617614746094
pass,successful,northoffboards,257.76666,outsideNorthWest,oz,powerPlay,0,315,82048,5152,96.3667755126953,-14.3352947235107
reception,successful,regular,260.16666,eastPoint,oz,powerPlay,0,315,20775372,5152,46.0726623535156,38.4735260009766
pass,successful,northoffboards,260.9,eastPoint,oz,powerPlay,0,315,20775372,5152,35.5108947753906,36.4617614746094
reception,successful,regular,261.6,outsideNorthEast,oz,powerPlay,0,315,121680,5152,74.2373657226563,30.9294128417969
pass,successful,north,266.03333,eastPoint,oz,powerPlay,0,315,121680,5152,39.534423828125,37.970588684082
reception,successful,regular,267,outsideNorthEast,oz,powerPlay,0,315,126723,5152,84.2961883544922,33.9470596313477
pass,successful,south,268.2,outsideNorthEast,oz,powerPlay,0,315,126723,5152,78.7638397216797,35.9588241577148
reception,successful,regular,268.4,outsideNorthEast,oz,powerPlay,0,315,82048,5152,59.1491241455078,29.9235305786133
pass,successful,d2d,272.46667,outsideNorthEastDZ,dz,shortHanded,0,311,1312,80264,-95.8716888427734,-24.3911743164062
reception,successful,regular,273.36667,outsideNorthEastDZ,dz,shortHanded,0,311,80,80264,-93.8599243164063,-1.75882339477539
pass,failed,d2doffboards,274.2,outsideNorthWestDZ,dz,shortHanded,0,311,80,80264,-97.8834533691406,5.28235244750977
pass,successful,outlet,275.9,outsideNorthEastDZ,dz,shortHanded,0,311,1312,80264,-85.3099212646484,-11.3147048950195
reception,successful,regular,276.53333,eastOuterSlotDZ,dz,shortHanded,0,311,1731661,80264,-66.1981658935547,-17.8529396057129
pass,failed,northoffboards,291.5,centerPoint,oz,powerPlay,0,315,126723,5152,31.9903106689453,-12.8264694213867
pass,successful,d2doffboards,294.16666,outsideNorthEastDZ,dz,shortHanded,0,311,108339,80264,-98.3863983154297,-5.27941131591797
reception,successful,regular,295.1,outsideNorthEastDZ,dz,shortHanded,0,311,2546838,80264,-90.3393402099609,-33.9470596313477
pass,successful,northoffboards,297.2,eastPoint,oz,powerPlay,0,315,20775372,5152,42.5520629882813,38.4735260009766
reception,successful,regular,298.8,outsideNorthEast,oz,powerPlay,0,315,126723,5152,85.8050079345703,33.9470596313477
pass,failed,slot,299.36667,outsideNorthEast,oz,powerPlay,0,315,126723,5152,82.7873687744141,34.9529418945312
pass,successful,northoffboards,300.66666,outsideNorthEast,oz,powerPlay,0,315,82048,5152,71.2197036743164,25.3971004486084
reception,successful,regular,301.9,outsideNorthEast,oz,powerPlay,0,315,126723,5152,91.8403015136719,25.3971004486084
pass,successful,south,303.3,outsideNorthEast,oz,powerPlay,0,315,126723,5152,82.284423828125,35.9588241577148
reception,successful,regular,303.8,outsideNorthEast,oz,powerPlay,0,315,82048,5152,74.2373657226563,24.3911743164062
pass,failed,slot,304.26666,outsideNorthEast,oz,powerPlay,0,315,82048,5152,77.2550048828125,17.3499984741211
shot,failed,outsideblocked,306.9,outsideNorthWest,oz,powerPlay,0,315,81408,5152,57.6403045654297,-35.4588241577148
pass,successful,outlet,311.03333,westPointDZ,dz,evenStrength,0,311,446706,80264,-41.5461883544922,39.4823532104492
reception,successful,regular,311.4,southEastBoardsNZ,nz,evenStrength,0,311,2546838,80264,-23.943244934082,31.9382362365723
pass,successful,south,315.63333,outsideNorthWest,oz,powerPlay,0,311,111452,80264,72.1184997558594,-38.9765014648437
reception,successful,regular,316.83334,westPoint,oz,powerPlay,0,311,94531,80264,28.3626403808594,-39.4794082641602
pass,successful,eastwest,317.16666,westPoint,oz,powerPlay,0,311,94531,80264,28.3626403808594,-39.4794082641602
reception,successful,regular,317.9,eastPoint,oz,powerPlay,0,311,112050,80264,31.8832244873047,20.8735294342041
pass,failed,eastwest,318.43332,eastPoint,oz,powerPlay,0,311,112050,80264,31.3802871704102,21.3764705657959
pass,successful,south,320.43332,northWestBoardsNZ,nz,powerPlay,0,311,370192,80264,14.2803001403809,-24.894100189209
reception,successful,regular,321.13333,southWestBoardsNZ,nz,powerPlay,0,311,94531,80264,-10.8667755126953,-38.9764709472656
pass,successful,eastwest,321.33334,southWestBoardsNZ,nz,powerPlay,0,311,94531,80264,-11.8726577758789,-38.4735260009766
reception,successful,regular,322.53333,southEastBoardsNZ,nz,powerPlay,0,311,112050,80264,-5.83736419677734,29.9264717102051
pass,successful,south,324.03333,northEastBoardsNZ,nz,powerPlay,0,311,112050,80264,5.22734069824219,32.9441184997559
reception,successful,regular,324.96667,centerPointDZ,dz,powerPlay,0,311,94531,80264,-33.4991302490234,4.27647018432617
pass,successful,south,326.83334,southCenterNZ,nz,powerPlay,0,311,94531,80264,-8.85501098632813,8.80294036865234
reception,successful,regular,327.9,centerPointDZ,dz,powerPlay,0,311,370192,80264,-29.9785461425781,7.79705810546875
pass,successful,eastwest,329.13333,southCenterNZ,nz,powerPlay,0,311,370192,80264,-4.32853698730469,-1.75882339477539
reception,successful,regular,329.96667,northEastBoardsNZ,nz,powerPlay,0,311,112050,80264,23.8361663818359,38.4764709472656
pass,failed,northoffboards,330.86667,eastPoint,oz,powerPlay,0,311,112050,80264,34.3979339599609,40.4882354736328
pass,successful,d2doffboards,333.2,outsideNorthEastDZ,dz,shortHanded,0,315,20161,5152,-95.7567520141602,-23.8911762237549
reception,successful,regular,333.9,outsideNorthEastDZ,dz,shortHanded,0,315,41952,5152,-84.6920471191406,-35.9617652893066
pass,successful,d2d,335.4,outsideNorthEastDZ,dz,shortHanded,0,315,41952,5152,-87.7096939086914,-33.4470596313477
reception,successful,regular,336.03333,outsideNorthEastDZ,dz,shortHanded,0,315,20161,5152,-90.7273406982422,-6.28823471069336
pass,successful,d2d,342.76666,outsideNorthWestDZ,dz,powerPlay,0,311,5152,80264,-94.3550109863281,0.252941131591797
reception,successful,regular,343.46667,innerSlotDZ,dz,powerPlay,0,311,94531,80264,-88.3197174072266,0.755882263183594
pass,successful,d2d,347.2,eastPointDZ,dz,powerPlay,0,311,94531,80264,-31.4873657226562,-14.3323516845703
reception,successful,regular,348.8,centerPointDZ,dz,powerPlay,0,311,111452,80264,-46.5755920410156,0.755882263183594
pass,failed,eastwest,350.66666,southCenterNZ,nz,powerPlay,0,311,111452,80264,-6.84324645996094,6.28823471069336
pass,successful,northoffboards,354.2,outsideNorthWest,oz,powerPlay,0,311,111452,80264,72.6214599609375,-39.9823532104492
reception,successful,regular,357.4,outsideNorthEast,oz,powerPlay,0,311,370192,80264,92.7391052246094,28.4176464080811
pass,successful,south,357.93332,outsideNorthEast,oz,powerPlay,0,311,370192,80264,80.6685180664062,35.4588241577148
reception,successful,regular,358.66666,eastPoint,oz,powerPlay,0,311,112050,80264,39.9302864074707,33.9500007629395
pass,successful,eastwest,359.3,eastPoint,oz,powerPlay,0,311,112050,80264,38.9244041442871,33.9500007629395
reception,successful,regular,360.06668,centerPoint,oz,powerPlay,0,311,94531,80264,30.3665466308594,-5.27941131591797
pass,successful,north,361.2,westPoint,oz,powerPlay,0,311,94531,80264,30.8694839477539,-21.8764724731445
reception,successful,regular,361.93332,outsideNorthWest,oz,powerPlay,0,311,111452,80264,69.093017578125,-33.9470596313477
pass,successful,south,362.8,outsideNorthWest,oz,powerPlay,0,311,111452,80264,59.5371322631836,-37.970588684082
reception,successful,regular,363.5,westPoint,oz,powerPlay,0,311,94531,80264,26.343017578125,-34.9529418945312
pass,successful,north,364.4,westPoint,oz,powerPlay,0,311,94531,80264,26.8459548950195,-36.4617614746094
reception,successful,regular,365.26666,westPoint,oz,powerPlay,0,311,111452,80264,48.9753684997559,-39.4794082641602
pass,failed,slot,366.1,outsideNorthWest,oz,powerPlay,0,311,111452,80264,61.5488967895508,-27.408821105957
pass,failed,eastwest,368.33334,westPoint,oz,powerPlay,0,311,94531,80264,31.372428894043,-29.9235305786133
reception,failed,regular,368.96667,eastOuterSlot,oz,powerPlay,0,311,370192,80264,57.0224266052246,15.8441181182861
pass,successful,south,371.26666,eastPoint,oz,powerPlay,0,311,370192,80264,37.9106636047363,37.9735298156738
reception,successful,regular,371.96667,centerPoint,oz,powerPlay,0,311,94531,80264,32.3783111572266,1.76176452636719
pass,successful,north,372.86667,centerPoint,oz,powerPlay,0,311,94531,80264,34.8930130004883,2.26470565795898
reception,successful,regular,373.5,eastPoint,oz,powerPlay,0,311,370192,80264,36.4018402099609,25.9029407501221
pass,successful,slot,375.66666,outsideNorthEast,oz,powerPlay,0,311,370192,80264,69.093017578125,33.9500007629395
reception,successful,regular,376.23334,eastOuterSlot,oz,powerPlay,0,311,112050,80264,68.5900726318359,16.3470592498779
pass,successful,slot,376.56668,eastOuterSlot,oz,powerPlay,0,311,112050,80264,71.1047821044922,16.3470592498779
reception,successful,regular,377.26666,westOuterSlot,oz,powerPlay,0,311,111452,80264,68.5900726318359,-20.8705902099609
shot,failed,slotblocked,377.3,westOuterSlot,oz,powerPlay,0,311,111452,80264,69.093017578125,-21.8764724731445
pass,successful,stretch,389.3,outsideNorthEastDZ,dz,powerPlay,0,311,94531,80264,-60.1628723144531,-28.4147033691406
reception,successful,regular,392.36667,northCenterNZ,nz,powerPlay,0,311,5814,80264,20.810661315918,1.25882339477539
pass,successful,ozentry,392.5,northCenterNZ,nz,powerPlay,0,311,5814,80264,21.816499710083,-1.25587999820709
reception,successful,ozentry,393.2,westPoint,oz,powerPlay,0,311,2546838,80264,39.9224281311035,-25.3970565795898
pass,successful,d2d,400.2,outsideNorthEastDZ,dz,powerPlay,0,311,5152,80264,-88.8305206298828,-7.79411697387695
reception,successful,regular,400.83334,outsideNorthEastDZ,dz,powerPlay,0,311,6588,80264,-93.3569793701172,-3.26764678955078
pass,successful,outlet,403.53333,outsideNorthWestDZ,dz,powerPlay,0,311,6588,80264,-64.6893310546875,30.4294128417969
reception,successful,regular,404.13333,westPointDZ,dz,powerPlay,0,311,110409,80264,-42.0569915771484,37.470588684082
pass,successful,d2d,404.16666,westPointDZ,dz,powerPlay,0,311,110409,80264,-43.0628662109375,37.9735298156738
reception,successful,regular,405.96667,outsideNorthEastDZ,dz,powerPlay,0,311,237838,80264,-72.2334594726563,-32.438232421875
pass,successful,outlet,407.13333,eastPointDZ,dz,powerPlay,0,311,237838,80264,-47.0863952636719,-37.467643737793
reception,successful,regular,407.83334,southCenterNZ,nz,powerPlay,0,311,6588,80264,-14.8981628417969,-18.8588218688965
pass,successful,ozentry,409.36667,northWestBoardsNZ,nz,powerPlay,0,311,6588,80264,9.24301147460938,-28.9176483154297
reception,successful,ozentry,409.93332,westPoint,oz,powerPlay,0,311,2546838,80264,26.8459548950195,-37.467643737793
pass,successful,southoffboards,412.1,outsideNorthWest,oz,powerPlay,0,311,2546838,80264,69.5959548950195,-37.970588684082
reception,successful,regular,413.33334,westPoint,oz,powerPlay,0,311,6588,80264,31.8753662109375,-34.4499969482422
pass,successful,eastwest,415.86667,centerPoint,oz,powerPlay,0,311,6588,80264,33.8871307373047,-0.752941131591797
reception,successful,regular,416.63333,outsideNorthEast,oz,powerPlay,0,311,110409,80264,56.5194854736328,35.4588241577148
pass,successful,south,416.9,outsideNorthEast,oz,powerPlay,0,311,110409,80264,55.5136032104492,34.4529418945312
reception,successful,regular,417.5,centerPoint,oz,powerPlay,0,311,6588,80264,30.3665466308594,10.8147048950195
pass,successful,north,418.76666,centerPoint,oz,powerPlay,0,311,6588,80264,32.3783111572266,4.27647018432617
reception,successful,regular,419.73334,outsideNorthEast,oz,powerPlay,0,311,110409,80264,58.0283088684082,34.955883026123
pass,successful,north,421.26666,outsideNorthEast,oz,powerPlay,0,311,110409,80264,62.0518379211426,30.4294128417969
reception,successful,regular,421.96667,outsideNorthEast,oz,powerPlay,0,311,5814,80264,66.0753707885742,38.9794120788574
shot,failed,outsideblocked,424.06668,outsideNorthEast,oz,powerPlay,0,311,5814,80264,62.0518379211426,28.9205875396728
pass,successful,slot,426.23334,outsideNorthEast,oz,powerPlay,0,311,5814,80264,74.122428894043,37.9735298156738
reception,successful,regular,426.7,eastOuterSlot,oz,powerPlay,0,311,237838,80264,65.5724258422852,17.8558826446533
pass,successful,none,427.36667,outsideNorthEast,oz,powerPlay,0,311,237838,80264,62.5547790527344,25.3999996185303
pass,successful,north,427.53333,outsideNorthEast,oz,powerPlay,0,311,237838,80264,62.0518379211426,27.9147052764893
reception,successful,regular,428.13333,outsideNorthEast,oz,powerPlay,0,311,5814,80264,63.560661315918,36.9676475524902
pass,successful,south,428.23334,outsideNorthEast,oz,powerPlay,0,311,5814,80264,61.045955657959,36.4647064208984
reception,successful,regular,428.96667,eastPoint,oz,powerPlay,0,311,6588,80264,29.3606643676758,22.8852939605713
shot,failed,outsideblocked,429,eastPoint,oz,powerPlay,0,311,6588,80264,29.3606643676758,22.8852939605713
pass,successful,outlet,430.66666,innerSlotDZ,dz,shortHanded,0,315,400162,5152,-77.1479339599609,-8.29999923706055
reception,successful,regular,431.46667,centerPointDZ,dz,shortHanded,0,315,82048,5152,-47.4744033813477,-5.78529357910156
pass,successful,d2doffboards,439.53333,outsideNorthWestDZ,dz,evenStrength,0,315,202206,5152,-94.247932434082,28.9176483154297
reception,successful,regular,440.66666,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-96.7626342773437,-21.3764705657959
pass,failed,outlet,441.06668,outsideNorthEastDZ,dz,evenStrength,0,315,400162,5152,-94.7508697509766,-26.4058818817139
pass,successful,d2doffboards,443.4,outsideNorthEastDZ,dz,evenStrength,0,315,10534,5152,-59.042049407959,-39.985294342041
reception,successful,regular,444.13333,outsideNorthEastDZ,dz,evenStrength,0,315,10534,5152,-62.0596961975098,-37.9735298156738
pass,successful,outlet,445.43332,outsideNorthEastDZ,dz,evenStrength,0,315,10534,5152,-76.6449890136719,-32.9441184997559
reception,successful,regular,446.13333,westOuterSlotDZ,dz,evenStrength,0,315,202206,5152,-63.5685195922852,18.3558807373047
pass,successful,stretchoffboards,452.83334,westPointDZ,dz,evenStrength,0,311,109372,80264,-36.5246276855469,18.3588237762451
reception,successful,regular,454.76666,northEastBoardsNZ,nz,evenStrength,0,311,1731661,80264,9.74595642089844,39.4823532104492
pass,failed,eastwest,465.56668,westPoint,oz,evenStrength,0,311,1731661,80264,37.4077224731445,-30.4264678955078
